0,dancing: barrier,dancing: front,dancing: middle,dancing: back,dancing: balcony,socializing: barrier,socializing: front,socializing: middle,socializing: back,socializing: balcony,meet new people: barrier,meet new people: front,meet new people: middle,meet new people: back,meet new people: balcony,take photos: barrier,take photos: front,take photos: middle,take photos: back,take photos: balcony,social media: barrier,social media: front,social media: middle,social media: back,social media: balcony,headbanging: barrier,headbanging: front,headbanging: middle,headbanging: back,headbanging: balcony,moshing: barrier,moshing: front,moshing: middle,moshing: back,drinking/drugs: barrier,drinking/drugs: front,drinking/drugs: middle,drinking/drugs: back,drinking/drugs: balcony,light shows: barrier,light shows: front,light shows: middle,light shows: back,light shows: balcony,buy merchandise
dancing: barrier,5,2,1,0,0,2,1,1,0,0,1,1,1,0,0,4,2,1,0,0,4,2,1,0,0,2,1,1,0,0,2,1,1,0,2,1,1,0,0,1,1,0,0,0,0
dancing: front,2,11,7,3,1,1,7,5,1,1,1,6,3,1,0,2,10,6,2,1,2,5,3,1,0,1,7,4,1,1,1,8,5,2,1,9,6,2,1,1,6,4,2,1,0
dancing: middle,1,7,20,12,2,1,5,17,9,2,1,3,11,6,1,1,6,15,8,2,1,3,8,5,0,1,4,10,5,2,1,5,8,3,1,6,17,10,2,0,4,11,7,2,0
dancing: back,0,3,12,15,1,0,1,9,12,1,0,1,6,9,1,0,2,8,11,1,0,1,5,7,0,0,1,5,6,1,0,2,3,3,0,2,10,13,1,0,2,7,8,1,0
dancing: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
socializing: barrier,2,1,1,0,0,2,1,1,0,0,1,1,1,0,0,2,1,1,0,0,2,1,1,0,0,1,1,1,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0
socializing: front,1,7,5,1,1,1,7,5,1,1,1,5,3,1,0,1,6,4,0,1,1,3,2,0,0,1,5,3,0,1,1,5,3,0,1,7,5,1,1,0,4,3,1,1,0
socializing: middle,1,5,17,9,2,1,5,17,9,2,1,3,11,6,1,1,4,12,5,2,1,2,7,4,0,1,3,9,4,2,1,3,6,1,1,5,15,8,2,0,3,10,6,2,0
socializing: back,0,1,9,12,1,0,1,9,12,1,0,1,6,9,1,0,0,5,8,1,0,0,4,6,0,0,0,4,5,1,0,0,1,1,0,1,8,11,1,0,1,6,7,1,0
socializing: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
meet new people: barrier,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0
meet new people: front,1,6,3,1,0,1,5,3,1,0,1,6,3,1,0,1,5,2,0,0,1,2,1,0,0,1,5,2,0,0,1,5,2,0,1,6,3,1,0,0,2,1,1,0,0
meet new people: middle,1,3,11,6,1,1,3,11,6,1,1,3,11,6,1,1,2,9,4,1,1,1,5,3,0,1,2,7,3,1,1,2,5,1,1,3,10,5,1,0,1,6,4,1,0
meet new people: back,0,1,6,9,1,0,1,6,9,1,0,1,6,9,1,0,0,4,7,1,0,0,3,5,0,0,0,3,4,1,0,0,1,1,0,1,5,8,1,0,1,4,5,1,0
meet new people: balcony,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0
take photos: barrier,4,2,1,0,0,2,1,1,0,0,1,1,1,0,0,4,2,1,0,0,4,2,1,0,0,1,1,1,0,0,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0
take photos: front,2,10,6,2,1,1,6,4,0,1,1,5,2,0,0,2,10,6,2,1,2,5,3,1,0,1,7,4,1,1,1,8,5,2,1,8,5,1,1,1,5,3,1,1,0
take photos: middle,1,6,15,8,2,1,4,12,5,2,1,2,9,4,1,1,6,15,8,2,1,3,7,4,0,1,4,10,5,2,1,5,8,3,1,5,13,6,2,0,3,9,5,2,0
take photos: back,0,2,8,11,1,0,0,5,8,1,0,0,4,7,1,0,2,8,11,1,0,1,4,6,0,0,1,5,6,1,0,2,3,3,0,1,6,9,1,0,1,5,6,1,0
take photos: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
social media: barrier,4,2,1,0,0,2,1,1,0,0,1,1,1,0,0,4,2,1,0,0,4,2,1,0,0,1,1,1,0,0,1,1,1,0,2,1,1,0,0,1,1,0,0,0,0
social media: front,2,5,3,1,0,1,3,2,0,0,1,2,1,0,0,2,5,3,1,0,2,5,3,1,0,1,3,2,1,0,1,4,3,1,1,3,2,0,0,1,3,2,1,0,0
social media: middle,1,3,8,5,0,1,2,7,4,0,1,1,5,3,0,1,3,7,4,0,1,3,8,5,0,1,2,6,4,0,1,3,5,2,1,2,6,3,0,0,2,6,4,0,0
social media: back,0,1,5,7,0,0,0,4,6,0,0,0,3,5,0,0,1,4,6,0,0,1,5,7,0,0,1,4,5,0,0,1,2,2,0,0,3,5,0,0,1,4,5,0,0
social media: balcony,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
headbanging: barrier,2,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,3,1,1,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0
headbanging: front,1,7,4,1,1,1,5,3,0,1,1,5,2,0,0,1,7,4,1,1,1,3,2,1,0,1,7,4,1,1,1,6,3,1,1,6,3,0,1,0,3,2,1,1,0
headbanging: middle,1,4,10,5,2,1,3,9,4,2,1,2,7,3,1,1,4,10,5,2,1,2,6,4,0,1,4,10,5,2,1,3,6,2,1,3,8,3,2,0,2,8,5,2,0
headbanging: back,0,1,5,6,1,0,0,4,5,1,0,0,3,4,1,0,1,5,6,1,0,1,4,5,0,0,1,5,6,1,0,1,2,2,0,0,3,4,1,0,1,5,6,1,0
headbanging: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
moshing: barrier,2,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,0,0,2,1,1,0,0,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0
moshing: front,1,8,5,2,0,1,5,3,0,0,1,5,2,0,0,1,8,5,2,0,1,4,3,1,0,1,6,3,1,0,1,8,5,2,1,7,4,1,0,0,3,2,1,0,0
moshing: middle,1,5,8,3,0,1,3,6,1,0,1,2,5,1,0,1,5,8,3,0,1,3,5,2,0,1,3,6,2,0,1,5,8,3,1,4,7,2,0,0,2,5,2,0,0
moshing: back,0,2,3,3,0,0,0,1,1,0,0,0,1,1,0,0,2,3,3,0,0,1,2,2,0,0,1,2,2,0,0,2,3,3,0,1,2,2,0,0,1,2,2,0,0
drinking/drugs: barrier,2,1,1,0,0,2,1,1,0,0,1,1,1,0,0,2,1,1,0,0,2,1,1,0,0,1,1,1,0,0,1,1,1,0,2,1,1,0,0,0,0,0,0,0,0
drinking/drugs: front,1,9,6,2,1,1,7,5,1,1,1,6,3,1,0,1,8,5,1,1,1,3,2,0,0,1,6,3,0,1,1,7,4,1,1,9,6,2,1,0,4,3,1,1,0
drinking/drugs: middle,1,6,17,10,2,1,5,15,8,2,1,3,10,5,1,1,5,13,6,2,1,2,6,3,0,1,3,8,3,2,1,4,7,2,1,6,17,10,2,0,3,9,5,2,0
drinking/drugs: back,0,2,10,13,1,0,1,8,11,1,0,1,5,8,1,0,1,6,9,1,0,0,3,5,0,0,0,3,4,1,0,1,2,2,0,2,10,13,1,0,1,5,6,1,0
drinking/drugs: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
light shows: barrier,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
light shows: front,1,6,4,2,1,0,4,3,1,1,0,2,1,1,0,1,5,3,1,1,1,3,2,1,0,0,3,2,1,1,0,3,2,1,0,4,3,1,1,1,6,4,2,1,0
light shows: middle,0,4,11,7,2,0,3,10,6,2,0,1,6,4,1,0,3,9,5,2,0,2,6,4,0,0,2,8,5,2,0,2,5,2,0,3,9,5,2,0,4,11,7,2,0
light shows: back,0,2,7,8,1,0,1,6,7,1,0,1,4,5,1,0,1,5,6,1,0,1,4,5,0,0,1,5,6,1,0,1,2,2,0,1,5,6,1,0,2,7,8,1,0
light shows: balcony,0,1,2,1,2,0,1,2,1,2,0,0,1,1,1,0,1,2,1,2,0,0,0,0,0,0,1,2,1,2,0,0,0,0,0,1,2,1,2,0,1,2,1,2,0
buy merchandise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
